Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,528.09998,543.79999,528.09998,541.29999,888800,541.29999
2016-02-17,523.00,529.95001,517.25,526.95001,1080600,526.95001
2016-02-16,527.00,530.50,521.15002,526.59998,691100,526.59998
2016-02-15,522.90002,527.59998,518.15002,525.75,977600,525.75
2016-02-12,524.79999,529.45001,508.25,517.29999,1799700,517.29999
2016-02-11,531.20001,532.29999,513.09998,517.20001,988000,517.20001
2016-02-10,536.25,536.65002,528.00,531.20001,967000,531.20001
2016-02-09,539.90002,539.90002,534.00,536.25,800200,536.25
2016-02-08,558.04999,560.20001,543.29999,545.00,822100,545.00
2016-02-05,560.00,565.79999,555.40002,557.90002,1076600,557.90002
2016-02-04,560.29999,561.65002,553.70001,559.95001,1051800,559.95001
2016-02-03,566.50,566.50,554.04999,557.79999,602500,557.79999
2016-02-02,570.09998,571.54999,564.20001,567.25,1285300,567.25
2016-02-01,565.59998,573.90002,557.29999,568.15002,1506900,568.15002
2016-01-29,548.59998,565.70001,548.59998,562.79999,1450200,562.79999
2016-01-28,553.20001,553.70001,544.40002,547.25,1211100,547.25
2016-01-27,550.00,554.95001,543.54999,552.54999,2092500,552.54999
2016-01-26,547.04999,547.04999,547.04999,547.04999,000,547.04999
2016-01-25,547.90002,549.79999,543.79999,547.04999,795500,547.04999
2016-01-22,555.70001,555.70001,547.09998,550.09998,833400,545.09999
2016-01-21,541.54999,555.00,541.54999,550.79999,1743800,545.79364
2016-01-20,539.04999,551.90002,533.20001,542.54999,1169600,537.61863
2016-01-19,548.00,552.00,538.00,542.00,957400,537.07364
2016-01-18,537.00,550.79999,530.75,547.15002,1693400,542.17685
2016-01-15,546.59998,548.84998,537.00,543.09998,625100,538.16361
2016-01-14,545.00,549.90002,536.00,545.25,1094700,540.2941
2016-01-13,547.00,551.90002,540.45001,546.50,672600,541.53273
2016-01-12,536.50,551.00,531.20001,548.90002,1309100,543.91095
2016-01-11,552.00,553.95001,534.40002,537.45001,1866400,532.565
2016-01-08,552.09998,557.84998,549.54999,555.79999,871500,550.74819
2016-01-07,553.00,557.45001,547.09998,549.84998,2094000,544.85226
2016-01-06,557.00,559.79999,553.00,555.09998,1148100,550.05454
2016-01-05,562.00,565.00,554.25,556.90002,878900,551.83823
2016-01-04,557.00,560.00,556.00,557.70001,643400,552.63095
2016-01-01,559.79999,559.79999,554.09998,556.45001,593500,551.39231
2015-12-31,558.00,563.40002,557.00,559.90002,1322700,554.81096
2015-12-30,565.90002,568.00,556.00,558.09998,502100,553.02728
2015-12-29,561.90002,568.20001,558.95001,564.04999,800300,558.92321
2015-12-28,555.54999,564.00,555.54999,561.45001,978800,556.34686
